Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
1760,1.4065763,None,None,0.19333361,-1.0299999713897705
1770,1.5424902,None,None,0.21871306,None
1780,1.4978616,None,None,0.2071003,None
1790,1.4086062,None,None,0.22130525,None
1800,1.5201772,None,None,0.21078944,None
1810,1.549927,0.15333333735664686,14.666666666666666,0.19665189,0.15333335598309836
1820,1.6094297,None,None,0.19605038,None
1830,1.5424865,None,None,0.19517154,None
1840,1.4086056,None,None,0.20608684,None
1850,1.5424906,None,None,0.20105448,None
1860,1.5871189,None,None,0.18888897,None
1870,1.497859,None,None,0.19808823,None
1880,1.481923,-0.3449999922886491,28.0,0.19055022,0.34000004827976227
1890,1.549928,-0.024999999441206455,2.0,0.20048724,-0.35999998946984607
1900,1.5282886,-1.0899999979883432,8.0,0.21277776,-1.089999958872795
1910,1.4755379,None,None,0.19484791,None
1920,1.5648,None,None,0.18061557,None
1930,1.5647993,None,None,0.19253777,None
1940,1.4892745,0.5900000091642141,33.0,0.19091718,0.5900000333786011
1950,1.4532297,None,None,0.16504923,None
1960,1.4755454,None,None,0.1787339,None
1970,1.5424894,None,None,0.16002963,None
1980,1.6094315,None,None,0.1840496,None
1990,1.4978607,None,None,0.1657667,None
2000,1.4978622,None,None,0.18445823,None
2010,1.4532336,None,None,0.19663173,None
2020,1.4978611,None,None,0.17948945,None
2030,1.5648042,None,None,0.1541014,None
2040,1.5080031,-0.9999999776482582,80.0,0.1771596,-0.9999999403953552
2050,1.5201719,None,None,0.18525195,None
2060,1.6094319,None,None,0.18272492,None
2070,1.4309165,None,None,0.18577376,None
2080,1.430917,None,None,0.14667547,None
2090,1.5080017,0.7650000052526593,19.0,0.20341547,0.7650000229477882
2100,1.6094297,None,None,0.16037306,None
2110,1.5871167,None,None,0.14849976,None
2120,1.6094316,-1.2799999937415123,23.0,0.15152533,-1.2799999564886093
2130,1.5648003,None,None,0.1837282,None
2140,1.4755422,None,None,0.17890269,None
2150,1.5201719,-0.1599999964237213,13.5,0.20347765,-1.2799999564886093
2160,1.406576,None,None,0.22472727,0.9599999785423279
2170,1.4978607,None,None,0.24081111,None
2180,1.4549489,-0.14999999664723873,12.5,0.20380628,0.7900000214576721
2190,1.4309156,-1.0199999995529652,2.0,0.18958601,-1.0549999698996544
2200,1.5424893,None,None,0.18282214,None
2210,1.4755476,None,None,0.20407526,None
2220,1.5201763,None,None,0.17503738,None
2230,1.5201759,None,None,0.20435272,None
2240,1.4532324,None,None,0.17889154,None
2250,1.5648037,None,None,0.18005475,None
2260,1.5871196,None,None,0.20405352,None
2270,1.5908324,-1.7499999832361937,60.0,0.1942087,-1.7499999552965164
2280,1.5424792,None,None,0.17269263,None
2290,1.5579332,0.7900000046938658,17.0,0.17180459,0.7900000214576721
2300,1.4755418,None,None,0.19439213,None
2310,1.6094288,None,None,0.1944465,None
2320,1.6094261,None,None,0.19985573,None
2330,1.5647991,None,None,0.18525079,None
2340,1.6094272,None,None,0.19130942,None
2350,1.5201687,None,None,0.20141524,None
2360,1.4358692,-1.7799999825656414,63.0,0.18445711,None
2370,1.4065763,None,None,0.17111261,-1.779999926686287
2380,1.5102569,0.8200000040233135,15.0,0.16042507,None
2390,1.5688573,None,None,0.18892159,0.8200000375509262
2400,1.485463,0.8200000040233135,15.0,0.21515477,None
2410,1.5080044,None,None,0.21696131,0.8200000375509262
2420,1.5871185,None,None,0.20442805,None
