Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length
298000,-7.526457,0.68862706,-1532.0,1996.0
299000,-7.9277353,0.69001395,None,None
300000,-8.687435,0.68681586,-1868.0,1996.0
301000,-6.8739195,0.6876453,None,None
302000,-8.733205,0.68349993,-1700.0,1996.0
303000,-6.570686,0.6897512,None,None
304000,-8.750845,0.68649995,-1502.0,1996.0
305000,-8.781363,0.68737936,None,None
306000,-8.784292,0.6904247,-1968.0,1996.0
307000,-8.624793,0.6923614,None,None
308000,-8.931409,0.6912682,-1768.0,1996.0
309000,-7.1536336,0.6926342,None,None
310000,-8.9986515,0.6922085,-1432.0,1996.0
311000,-7.77967,0.69232494,None,None
312000,-5.596883,0.69091,-1194.0,1996.0
313000,-7.4153175,0.6926998,None,None
314000,-8.061333,0.69084316,-1404.0,1996.0
315000,-7.5850024,0.6919623,None,None
316000,-8.646929,0.68950117,-1732.0,1996.0
317000,-8.618064,0.69235325,None,None
318000,-8.042989,0.6918546,-1600.0,1996.0
319000,-8.550243,0.6921796,None,None
320000,-7.8353844,0.6869625,-1338.0,1996.0
321000,-7.3532,0.6883668,None,None
322000,-5.1246037,0.69100434,-498.0,1996.0
323000,-5.49535,0.69189334,None,None
324000,-8.399975,0.68898934,-1866.0,1996.0
325000,-7.687357,0.6926391,None,None
326000,-8.596041,0.6890242,-1466.0,1996.0
327000,-7.922365,0.6923149,None,None
328000,-8.00155,0.68672454,-1736.0,1996.0
329000,-7.3257685,0.6887214,None,None
330000,-5.6300454,0.68927276,-1002.0,1996.0
331000,-7.6752644,0.69044995,None,None
332000,-8.7950325,0.68694305,-1736.0,1996.0
333000,-8.231749,0.6918726,None,None
334000,-8.612681,0.6886533,-1934.0,1996.0
335000,-6.9523487,0.6924591,None,None
336000,-8.47099,0.68322974,-1436.0,1996.0
337000,-8.927658,0.69244796,None,None
338000,-7.93044,0.69141185,-1602.0,1996.0
339000,-8.425794,0.69242996,None,None
340000,-5.660367,0.6657656,-1200.0,1996.0
341000,-8.378978,0.6898438,None,None
342000,-8.660862,0.6838599,-1868.0,1996.0
343000,-7.4719877,0.69162536,None,None
